,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
2,0.70663905,-0.3303199,0.62317,0.31191307,-0.0703303,-0.03305503878999308,-0.3382214017935646,0.16999735,0.24646991,-0.63499415,-0.35558203,6,0
3,0.004579993,-0.6461271,0.040498562,0.651952,0.33144113,0.9505795509862416,1.2579291877134493,0.34021792,-0.18910244,-0.93355304,-0.5231432,6,0
4,0.004579993,-0.6461271,0.040498562,0.651952,0.33144113,0.9505795509862416,1.2579291877134493,0.34021792,-0.18910244,-0.93355304,-0.5231432,6,0
5,0.70663905,-0.3303199,0.62317,0.31191307,-0.0703303,-0.03305503878999308,-0.3382214017935646,0.16999735,0.24646991,-0.63499415,-0.35558203,6,0
6,-0.7754851,-0.07767417,-1.1248442,0.33316547,-0.32143748,-0.03305503878999308,0.36121537338366616,0.10189289,-0.25132707,-0.41107494,-0.77448326,6,0
7,-0.15143289,-0.39348128,0.3318344,3.244749,-0.32143748,0.8348578345419787,0.9709807671279186,2.1787543,-1.3713717,-0.5603545,-1.4447254,6,0
8,-0.6974783,-0.20399694,0.18616648,-0.814466,-0.12055184,-0.9588287703440963,0.28947826823728356,-0.20451634,0.4953684,-0.26179537,-0.85826385,6,0
10,0.70663905,-0.39348128,0.6960039,-0.84634465,-0.9240949,-1.1324113450104907,-0.9479867955378171,-1.2940052,-1.4335964,0.26068273,1.2362424,5,0
12,0.5506258,-0.9619343,0.40466827,-0.8994757,-0.5725448,-0.8431070538998333,-0.7327754800986691,-0.88545954,-0.25132707,0.7831608,0.23087956,5,0
16,-0.6974783,0.9329089,-1.9988513,-0.9207282,-0.2712161,-0.03305503878999308,-0.30235284922037325,-0.61308223,0.12202067,-1.2321119,-0.77448326,6,0
18,0.16059324,0.048648782,0.76883775,-0.9207282,-0.9240949,-0.7852461956777019,0.9889150434145143,-0.9875959,-0.6246763,0.03676328,0.6497808,6,0
21,-0.61947185,-0.14083555,0.4775021,-0.53818434,-0.67298776,-0.669524479233439,-0.24855002036058627,-1.1578368,-0.3135517,-1.3067518,0.39843988,7,0
22,-0.30744576,-0.45664287,0.76883775,-0.79321355,-0.12055184,0.6034144016534528,0.11013550537132694,-0.54499805,1.5531884,-0.3364353,-0.020461353,8,0
24,-0.46345899,-0.39348128,0.6960039,-0.87822336,0.03011261,-0.8431070538998333,0.46882103110324014,0.16999735,1.2420653,-0.41107494,-0.4393626,6,0
25,-0.15143289,-0.51980424,0.040498562,0.7582142,-0.2712161,1.4713272749854247,2.3160514886225934,0.306186,0.18424529,-0.18715572,-0.10424192,6,0
26,-0.22943932,-0.58296573,0.25900033,-0.9419806,0.03011261,0.25624925232066414,0.5405581362496228,-0.54499805,1.4287392,-0.63499415,-0.4393626,6,0
27,-0.15143289,-0.3303199,0.550336,0.6944568,-0.020108936,0.08266667765426983,0.4508867548166445,0.5104588,0.99316686,0.03676328,-0.020461353,6,0
28,0.16059324,-0.39348128,1.2058413,-0.9207282,-0.22099476,-0.7852461956777019,0.28947826823728356,-1.0897323,-0.18910244,-0.26179537,0.9011217,6,0
29,0.004579993,-0.07767417,0.3318344,-0.72945625,-0.9240949,0.3719709687649271,-0.033338704921438346,-1.3621097,-0.74912554,1.3802786,1.4875833,7,0
30,1.0186648,-0.58296573,0.550336,1.0557482,-0.371659,-0.6116636210113076,0.46882103110324014,0.95305663,-0.12687781,0.03676328,-0.4393626,6,0
31,0.8626519,-1.2145802,0.18616648,-0.9207282,-0.47210193,-1.3638547778990164,-1.2349352161233476,-0.40880942,1.5531884,-0.93355304,-0.27180225,6,0
32,0.16059324,-0.51980424,0.3318344,-0.71883005,-0.0703303,0.024805819432138373,-0.2844185729337776,-0.88545954,-0.18910244,-0.63499415,0.23087956,6,0
34,-1.0875108,-0.39348128,-0.83350843,2.0227342,-0.371659,-0.4959419045670447,1.1323892537072795,0.544511,0.93094075,-1.1574723,-0.27180225,5,0
36,-0.54146546,0.36445588,-0.6150067,-0.0068734535,-0.020108936,-0.3223593299006503,0.5943609651094097,-0.40880942,0.12202067,-1.3067518,-0.4393626,5,0
37,-0.15143289,-0.014512601,0.040498562,-0.8994757,0.08033397,0.4298318269870585,0.3970839259568575,-1.3621097,-0.5624502,-1.82923,0.5660002,6,0
43,-0.46345899,-0.58296573,-0.32367092,-0.85697085,0.28121978,0.14052753587640127,0.6481637939691968,-0.40880942,-0.0024285747,0.26068273,-0.85826385,6,0
44,-0.38545257,-0.6461271,-0.396505,-0.85697085,0.43188405,0.14052753587640127,0.6840323465423881,-0.40880942,0.12202067,0.26068273,-0.85826385,6,0
45,0.16059324,-0.9619343,-0.032335293,-0.85697085,0.33144113,0.4298318269870585,0.9171779382681317,-0.51094586,-0.3757763,0.03676328,-0.4393626,7,0
46,-0.7754851,0.7434246,-0.396505,-0.2193978,0.5825485,1.876353282540345,1.6166147134453623,-0.20451634,0.30869454,-0.037876386,-0.6069229,4,0
47,-0.7754851,0.80658615,-0.46933886,-0.2193978,0.73321277,1.8184924243182132,1.634548989731958,-0.23856856,0.18424529,-0.037876386,-0.6069229,5,0
48,-0.15143289,-0.14083555,-0.396505,0.41817525,0.88387704,-0.148776755234256,0.7916380042619621,0.27213377,-0.5624502,-0.4857146,-0.6069229,6,0
49,-0.22943932,-0.8987729,0.25900033,-0.09188321,0.78343433,0.08266667765426983,0.6122952413960054,0.13594511,0.8687161,-0.3364353,-0.6069229,5,0
50,0.004579993,-0.8987729,-0.032335293,-0.814466,0.53232694,0.024805819432138373,1.0247835959877056,-0.9875959,0.8064915,-0.63499415,0.9849015,6,0
51,-0.46345899,-0.51980424,-0.17800322,-0.9207282,0.83365583,0.48769268520918996,0.14600405794451826,-1.0897323,0.74426687,0.40996206,0.39843988,7,0
52,-0.7754851,-1.0882573,0.11333263,-0.9207282,0.28121978,-0.5538027627891762,-0.6072355460924995,-1.2259209,0.6198176,-0.4857146,0.31465933,7,0
53,-0.61947185,-0.9619343,0.25900033,-0.9419806,-0.32143748,0.48769268520918996,-0.14094436264101232,-1.1918688,0.55759305,-1.3067518,0.31465933,6,0
55,-0.22943932,-0.51980424,0.25900033,-0.87822336,-0.6227662,-0.09091589701212452,1.3476005691464275,-1.2940052,-0.5624502,-0.037876386,0.39843988,6,0
56,0.004579993,-0.77245003,0.18616648,1.3745347,-0.42188036,0.3719709687649271,1.7421546474515321,0.544511,-0.81135017,-0.18715572,-0.77448326,6,0
57,-0.931498,-0.8987729,-0.396505,1.4807968,-0.17077321,1.124162125652636,0.5584924125362184,0.8849725,0.4953684,-1.2321119,-1.3609457,6,0
58,-0.46345899,0.3012945,-1.1976781,-0.17689297,-0.371659,-0.3223593299006503,-0.6789726512388822,-0.51094586,-0.6869009,-1.0828326,-0.27180225,6,0
59,0.16059324,-0.83561146,0.3318344,-0.8994757,-0.67298776,0.7769969763198472,-0.08714153378122533,-0.6811664,0.8687161,-1.3813915,-0.5231432,6,0
60,-0.30744576,-0.7092886,-0.5421728,-0.11313563,2.0389705,-0.03305503878999308,0.1280697816579226,0.16999735,-1.1846979,-0.4857146,-1.6122857,6,0
61,-0.931498,-0.8987729,-0.396505,1.4807968,-0.17077321,1.124162125652636,0.5584924125362184,0.8849725,0.4953684,-1.2321119,-1.3609457,6,0
62,-0.15143289,0.8697475,-1.7803495,-0.9207282,-0.823652,-0.7852461956777019,0.630229517682601,-1.2259209,-1.2469225,-1.3813915,-0.020461353,5,0
63,-0.46345899,0.3012945,-1.1976781,-0.17689297,-0.371659,-0.3223593299006503,-0.6789726512388822,-0.51094586,-0.6869009,-1.0828326,-0.27180225,6,0
64,0.004579993,-0.58296573,-0.32367092,-0.85697085,-0.67298776,0.024805819432138373,0.11013550537132694,-0.6471345,-0.43800092,-0.4857146,-0.18802169,6,0
65,-0.7754851,0.11181017,-2.071685,-0.8994757,0.63277006,-0.09091589701212452,0.07426695279813562,-0.40880942,-0.0024285747,0.11140339,-1.1933845,5,0
66,-0.61947185,-0.45664287,-0.5421728,0.2056509,-0.5725448,-0.20663761345638743,0.14600405794451826,-1.464246,-0.0024285747,-0.26179537,1.7389241,7,0
67,-0.38545257,-0.51980424,-1.343346,-0.8994757,-0.5223233,2.917848730538711,1.0427178722743013,-0.88545954,-0.50022554,-0.78427374,-0.6069229,5,0
68,-0.38545257,-0.6461271,-0.032335293,-0.70820385,-0.2712161,-0.03305503878999308,-0.35615567808016024,-0.6811664,0.68204224,0.8578005,0.14709899,8,0
69,0.16059324,-0.58296573,-0.17800322,0.99199104,-0.0703303,-0.5538027627891762,-0.19474719150079928,0.544511,-0.5624502,-1.3067518,-0.85826385,5,0
70,-0.7754851,-0.39348128,0.8416718,0.503185,0.23099843,1.008440409208373,2.2981172123359976,0.34021792,-0.74912554,-0.11251605,-1.277165,6,0
71,-0.30744576,-0.20399694,-0.6150067,-0.17689297,0.48210558,1.124162125652636,2.1905115546164233,0.4083224,0.6198176,0.55924183,-0.85826385,5,0
72,-0.931498,-0.39348128,-0.25083706,-0.13438804,0.5825485,0.024805819432138373,1.5269433320123842,0.6125952,2.9221315,1.3802786,-0.4393626,5,0
73,1.0966716,-0.6461271,1.0601736,-0.9419806,0.13055551,-1.2481330614547534,-0.786578308958456,-0.1704844,-1.6824949,-0.26179537,-1.1933845,6,0
74,-0.38545257,-0.6461271,-0.032335293,-0.70820385,-0.2712161,-0.03305503878999308,-0.35615567808016024,-0.6811664,0.68204224,0.8578005,0.14709899,8,0
75,0.16059324,-0.58296573,-0.17800322,0.99199104,-0.0703303,-0.5538027627891762,-0.19474719150079928,0.544511,-0.5624502,-1.3067518,-0.85826385,5,0
76,-0.07342644,-0.9619343,0.3318344,-0.85697085,-0.42188036,0.024805819432138373,-0.5175641646595212,-1.6344869,0.24646991,-1.1574723,1.822704,7,0
77,-0.15143289,-0.07767417,0.18616648,-0.87822336,-0.47210193,-0.6116636210113076,-0.8403811378182431,-1.1578368,0.55759305,0.93244016,1.2362424,7,0
78,0.16059324,-0.9619343,-0.10516915,0.7157093,0.63277006,-0.26449847167851886,-0.2306157440739906,0.5104588,-1.7447195,0.26068273,-1.0258242,5,0
79,-0.38545257,1.3118777,-0.25083706,-0.0068734535,0.43188405,-0.5538027627891762,-0.19474719150079928,0.10189289,0.30869454,-1.1574723,-1.277165,5,0
80,-0.30744576,-0.7092886,-0.032335293,-0.85697085,0.08033397,0.19838839409853273,-0.033338704921438346,-0.57903004,1.0553914,1.828117,0.06331921,6,0
82,-0.07342644,0.048648782,-0.83350843,0.14189355,0.5825485,0.9505795509862416,0.8633751094083447,-0.00024352015,-0.3135517,-0.78427374,-0.4393626,5,0
84,-0.07342644,0.6171018,2.1526825,1.3532823,-0.32143748,1.3556055585411617,0.7019666228289837,0.95305663,-0.6869009,-0.5603545,-1.528506,5,0
85,-0.07342644,0.68026316,2.2255163,1.3532823,-0.371659,1.2398838420968987,0.6481637939691968,0.9871089,-0.6246763,-0.4857146,-1.528506,6,0
87,-0.30744576,-0.51980424,-0.032335293,1.672069,-0.0703303,2.2235184318731336,1.5448776082989797,0.8849725,-0.0024285747,-0.3364353,-0.6907035,6,0
88,-0.07342644,0.6171018,2.1526825,1.3532823,-0.32143748,1.3556055585411617,0.7019666228289837,0.95305663,-0.6869009,-0.5603545,-1.528506,5,0
89,-0.07342644,0.68026316,2.2255163,1.3532823,-0.371659,1.2398838420968987,0.6481637939691968,0.9871089,-0.6246763,-0.4857146,-1.528506,6,0
90,0.004579993,0.36445588,2.29835,1.1832628,-0.371659,1.413466416763293,0.7199008991155794,0.95305663,-0.81135017,-0.63499415,-1.528506,6,0
93,-0.22943932,-0.77245003,0.11333263,-0.77196115,-0.87387335,1.008440409208373,0.36121537338366616,-1.6004347,0.18424529,-0.85891336,1.7389241,7,0
94,0.23859967,-1.0250958,0.040498562,-0.79321355,-0.5725448,1.1820229838747673,0.5764266888228141,-1.0216482,-0.064653195,-0.63499415,0.81734115,7,0
95,-0.07342644,-0.45664287,-0.17800322,1.4807968,-0.371659,1.8184924243182132,2.2263801071896148,0.7828361,-1.1224732,-0.78427374,-1.1096047,6,0
96,-0.931498,0.048648782,2.5168521,2.224632,-0.2712161,-0.26449847167851886,0.8633751094083447,1.1232976,-0.50022554,-0.18715572,-1.4447254,6,0
97,1.0966716,-0.42506215,0.3318344,-0.8994757,-0.87387335,-0.9009679121219648,-0.6431040986656908,-1.1237845,-1.6824949,-1.2321119,0.73356056,7,0
98,2.0327497,0.17497174,1.0601736,1.0770007,-0.67298776,-1.5374373525654108,-0.5893012698059038,0.34021792,-2.0558426,-1.6799504,-0.35558203,4,0
99,-0.931498,0.048648782,2.5168521,2.224632,-0.2712161,-0.26449847167851886,0.8633751094083447,1.1232976,-0.50022554,-0.18715572,-1.4447254,6,0
100,0.16059324,-0.51980424,0.40466827,1.7145736,0.43188405,1.2398838420968987,1.3655348454330232,0.9871089,-1.3713717,-0.63499415,-1.1933845,5,0
101,-0.07342644,-1.3409029,0.040498562,0.88572884,0.13055551,1.9342141407624764,0.8275065568351534,0.544511,1.117616,-0.85891336,-0.94204444,5,0
102,-0.931498,-0.77245003,-0.5421728,1.4170398,-0.0703303,1.413466416763293,0.8633751094083447,0.816868,0.74426687,-1.0081929,-0.94204444,5,0
103,0.23859967,-0.17241625,0.62317,2.862205,0.3816627,0.7769969763198472,0.9709807671279186,1.8382727,-1.4335964,-0.4857146,-1.277165,5,0
104,0.16059324,-0.51980424,0.40466827,1.7145736,0.43188405,1.2398838420968987,1.3655348454330232,0.9871089,-1.3713717,-0.63499415,-1.1933845,5,0
105,0.0825868,-1.2777416,0.040498562,1.9058455,-0.020108936,0.19838839409853273,-0.12301008635441665,0.95305663,-0.12687781,-1.3067518,-1.1096047,6,0
107,-0.07342644,-0.6461271,0.25900033,2.3521466,-0.5725448,1.7027707078739505,0.9889150434145143,1.4978112,-0.3757763,0.4846017,-1.1933845,6,0
108,-0.07342644,-0.6461271,0.25900033,2.3521466,-0.5725448,1.7027707078739505,0.9889150434145143,1.4978112,-0.3757763,0.4846017,-1.1933845,6,0
109,-0.22943932,-0.014512601,-0.25083706,-0.87822336,-0.020108936,0.3719709687649271,1.2758634640000448,-0.6471345,0.30869454,0.55924183,-0.18802169,5,0
110,-0.54146546,-1.0250958,1.642845,0.651952,1.536756,1.9342141407624764,0.845440833121749,0.44235432,-2.0558426,-1.0081929,-1.4447254,6,0
111,0.004579993,-0.39348128,1.0601736,2.8303266,0.03011261,0.8348578345419787,2.49539425148855,1.8382727,-1.1224732,-0.037876386,-1.3609457,5,0
112,0.004579993,-0.14083555,1.3515092,1.672069,0.23099843,2.165657573651002,1.41933767429281,1.225434,-1.3091471,-0.41107494,-1.1096047,5,0
113,-0.38545257,0.49077883,0.18616648,0.800719,-0.12055184,-0.09091589701212452,0.6122952413960054,0.7487838,-0.0024285747,-0.11251605,-1.1933845,5,0
114,-0.38545257,0.49077883,0.18616648,0.800719,-0.12055184,-0.09091589701212452,0.6122952413960054,0.7487838,-0.0024285747,-0.11251605,-1.1933845,5,0
115,-1.3215306,0.9644898,-2.290187,-0.83571845,0.6829912,-1.305993919676885,-0.2306157440739906,-0.20451634,2.5487838,-0.93355304,-0.6907035,4,0
116,-0.931498,-0.14083555,-0.5421728,-0.45317462,-0.5223233,-0.3223593299006503,0.4867553073898358,-1.0897323,0.55759305,-0.63499415,0.6497808,6,0
117,-0.15143289,-1.2145802,0.62317,-0.79321355,-0.823652,-0.8431070538998333,-0.5534327172327125,-1.1918688,-0.18910244,-0.78427374,1.0686821,6,0
118,0.004579993,-0.14083555,1.3515092,1.672069,0.23099843,2.165657573651002,1.41933767429281,1.225434,-1.3091471,-0.41107494,-1.1096047,5,0
119,0.0825868,-0.07767417,1.2058413,1.672069,0.43188405,1.529188133207556,1.4372719505794058,1.225434,-1.1224732,-0.18715572,-1.1096047,5,0
121,0.47261935,-0.58296573,0.040498562,1.438292,0.13055551,0.6612752598755843,0.3970839259568575,1.2935181,-1.3091471,0.11140339,-1.4447254,5,0
122,0.16059324,-1.0882573,-0.032335293,0.30128682,0.3816627,0.024805819432138373,0.2715439919506879,0.20402929,0.43314376,-1.3813915,-0.6907035,5,0
123,-0.22943932,-0.8987729,-0.25083706,-0.09188321,0.33144113,-0.9588287703440963,0.5405581362496228,0.20402929,0.43314376,-1.2321119,-1.1933845,6,0
124,-0.61947185,-1.2777416,1.1330074,-0.814466,2.0389705,0.5455535434313215,0.7557694516887707,-0.61308223,-0.064653195,-1.2321119,-0.6069229,6,0
125,-0.38545257,-0.8987729,0.3318344,-0.9207282,-1.275645,1.876353282540345,0.4867553073898358,-1.1578368,0.30869454,-0.3364353,0.39843988,6,0
126,0.16059324,0.36445588,-0.6150067,0.33316547,-0.9240949,-0.09091589701212452,0.1818726105177096,-0.20451634,-0.50022554,-0.78427374,-0.020461353,5,0
127,-0.54146546,-0.58296573,0.040498562,0.46068007,-0.67298776,1.008440409208373,1.5628118845855754,0.4083224,1.4287392,0.11140339,-0.6907035,7,0
128,-0.85349154,-0.20399694,1.7885128,-0.5594368,-0.371659,0.9505795509862416,1.1323892537072795,-0.7492709,0.4953684,0.33532238,0.31465933,7,0
129,-0.85349154,-0.20399694,1.7885128,-0.5806892,-0.2712161,0.8927186927641101,1.2220606351402579,-0.7492709,0.55759305,0.33532238,0.31465933,6,0
130,-1.1655177,-0.45664287,-0.46933886,1.0557482,-1.5769737,-1.3638547778990164,-1.055592453257391,-0.20451634,1.0553914,-1.1574723,0.06331921,5,0
131,-0.54146546,-0.58296573,0.040498562,0.46068007,-0.67298776,1.008440409208373,1.5628118845855754,0.4083224,1.4287392,0.11140339,-0.6907035,7,0
132,-0.54146546,0.5855211,0.62317,1.629564,-0.67298776,1.6449098496518189,2.2443143834762105,1.1232976,0.059796046,0.33532238,-1.277165,5,0
133,-0.46345899,-0.58296573,-0.32367092,2.2033799,-0.823652,0.8927186927641101,1.2937977402866405,1.225434,0.12202067,-0.11251605,-1.1096047,5,0
134,-0.30744576,-0.39348128,-0.68784064,0.56694233,-0.87387335,1.413466416763293,1.5628118845855754,0.5104588,-0.18910244,-0.037876386,-1.3609457,5,0
135,-0.38545257,-0.39348128,-0.032335293,2.1821275,-0.77343065,0.7769969763198472,1.1323892537072795,1.1232976,0.24646991,0.26068273,-0.77448326,5,0
136,0.7846451,-0.6461271,0.62317,-0.8994757,-1.2254236,0.31411011054279564,0.09220122908473127,-0.88545954,-0.6246763,-1.0828326,0.14709899,6,0
137,-0.07342644,0.23813312,2.5896862,1.0770007,-0.32143748,1.0663012674305044,0.7019666228289837,0.9871089,-0.3757763,-0.63499415,-1.528506,5,0
138,-0.30744576,-0.8987729,0.3318344,-0.75070864,-0.823652,-0.03305503878999308,-0.35615567808016024,-0.9875959,-0.43800092,0.11140339,0.23087956,7,0
139,0.70663905,-0.3303199,0.550336,-0.75070864,-1.1249807,-0.7273853374555704,-0.6610383749522865,-0.7833231,0.059796046,-0.037876386,1.0686821,6,0
140,-0.6974783,-0.14083555,0.18616648,-0.6869514,-0.32143748,-0.6116636210113076,-0.6969069275254778,-0.6471345,0.4953684,-0.7096338,-0.27180225,5,0
141,-0.07342644,0.23813312,2.5896862,1.0770007,-0.32143748,1.0663012674305044,0.7019666228289837,0.9871089,-0.3757763,-0.63499415,-1.528506,5,0
142,0.5506258,-0.77245003,0.62317,-0.8994757,-0.6227662,0.4298318269870585,-0.15887863892760798,-0.88545954,-0.064653195,0.11140339,0.23087956,6,0
143,1.0186648,-0.77245003,0.6960039,-0.24065022,-0.77343065,-0.38022018812278174,-0.30235284922037325,0.033808712,-0.25132707,0.03676328,-0.6907035,6,0
144,0.70663905,-0.83561146,0.62317,-0.72945625,-0.7232091,-0.669524479233439,-0.5175641646595212,-0.8514073,-0.6246763,0.11140339,0.5660002,6,0
145,-0.6974783,-0.48822355,0.40466827,-0.9207282,-0.5725448,0.3719709687649271,-0.033338704921438346,-1.3961618,-1.3713717,-1.0081929,0.31465933,6,0
146,-1.2435241,-1.0882573,-0.32367092,-0.85697085,-0.371659,1.2977447003190303,0.9351122145547274,-0.9535437,0.37091917,-1.1574723,-0.35558203,6,0
148,-0.6974783,0.048648782,0.11333263,-0.17689297,-0.87387335,-0.669524479233439,-0.6431040986656908,-0.9875959,0.99316686,0.40996206,1.2362424,7,0
149,-0.22943932,-0.51980424,-0.10516915,-0.28315514,0.13055551,-0.43808104634491324,0.0025298476517529754,-0.20451634,-1.4335964,-1.0828326,-0.94204444,6,0
150,0.5506258,-0.7092886,0.4775021,0.5456898,-0.42188036,0.8927186927641101,0.6481637939691968,-0.40880942,-0.6246763,-1.530671,0.81734115,7,0
152,-0.22943932,-0.51980424,-0.10516915,-0.28315514,0.13055551,-0.43808104634491324,0.0025298476517529754,-0.20451634,-1.4335964,-1.0828326,-0.94204444,6,0
153,0.004579993,-0.9619343,0.6960039,-0.8994757,-0.17077321,0.6034144016534528,-0.3382214017935646,-0.91949147,-0.50022554,-0.5603545,-0.10424192,5,0
158,-1.5555502,0.68026316,-1.9988513,-0.85697085,-0.77343065,0.7191361180977157,0.056332676511539954,-1.7706553,0.8687161,-1.4560312,1.320023,8,0
159,-1.5555502,0.68026316,-1.9988513,-0.85697085,-0.77343065,0.7191361180977157,0.056332676511539954,-1.7706553,0.8687161,-1.4560312,1.320023,8,0
160,-0.85349154,-0.07767417,-0.5421728,-0.83571845,-0.77343065,0.4298318269870585,0.14600405794451826,-1.6344869,0.43314376,-0.78427374,1.5713631,7,0
161,-0.61947185,-0.7092886,1.7885128,1.927098,0.18077688,-0.20663761345638743,0.7737037279753664,1.1573497,-1.495821,-0.93355304,-1.1933845,5,0
162,-0.6974783,0.17497174,-0.10516915,-0.13438804,-0.12055184,-0.9588287703440963,-0.5534327172327125,-0.4768936,0.37091917,-1.0081929,0.06331921,5,0
165,-0.15143289,-0.6461271,0.3318344,1.6083115,-0.020108936,2.397101006539528,1.0965207011340883,0.8849725,-0.3757763,-0.26179537,-0.6069229,5,0
166,0.940658,-0.39348128,1.0601736,0.6944568,-0.17077321,0.48769268520918996,1.4552062268660015,0.95305663,-0.50022554,0.4846017,-0.77448326,6,0
167,-0.38545257,0.80658615,-0.9791763,-0.6444465,-0.87387335,-0.3223593299006503,-0.3202871255069689,-1.702571,-0.87357473,-0.63499415,1.7389241,7,0
168,0.23859967,-0.2671585,-0.032335293,0.7475879,0.18077688,-0.6116636210113076,0.630229517682601,0.7487838,-0.87357473,0.11140339,-1.0258242,5,0
170,-0.07342644,-0.20399694,1.0601736,-0.83571845,0.73321277,-0.09091589701212452,0.3074125445238792,-1.3621097,-0.6246763,0.11140339,1.822704,6,0
171,0.5506258,-0.8987729,0.98733956,-0.83571845,-0.32143748,-0.7852461956777019,-0.35615567808016024,-0.9875959,-0.5624502,-1.0081929,0.39843988,6,0
172,0.3166061,0.9329089,0.40466827,-0.98448545,-0.7232091,-1.5374373525654108,-0.2844185729337776,-1.4982983,-1.1846979,-1.0081929,0.73356056,4,0
173,-0.6974783,-0.7092886,0.8416718,-0.18751913,-0.67298776,0.024805819432138373,0.25360971566409224,-0.9535437,0.8064915,-1.4560312,0.81734115,7,0
174,0.23859967,-0.39348128,-0.032335293,2.607176,-0.020108936,0.14052753587640127,1.0247835959877056,1.4978112,-0.81135017,0.8578005,-0.27180225,5,0
175,-0.22943932,-0.6461271,0.62317,0.43942764,-0.5725448,1.124162125652636,0.630229517682601,-0.6471345,-0.6869009,-1.9038696,0.73356056,6,0
176,0.004579993,-0.07767417,1.1330074,-0.070630796,-0.371659,-0.669524479233439,-0.9121182429646257,-1.2259209,-1.1846979,-0.85891336,1.7389241,4,0
177,-1.0095044,-0.6461271,-0.10516915,1.587059,0.13055551,1.529188133207556,0.9709807671279186,0.8849725,0.37091917,-1.0081929,-0.94204444,5,0
179,-0.61947185,-0.51980424,0.040498562,0.014378961,-0.12055184,0.6034144016534528,1.0785864248474926,0.13594511,-0.18910244,1.1563596,-1.1096047,6,0
180,-0.61947185,-0.014512601,-0.032335293,0.014378961,-0.17077321,0.6612752598755843,1.0247835959877056,0.16999735,-0.18910244,1.0070803,-1.0258242,6,0
182,-0.30744576,-0.3303199,0.62317,3.5210307,-0.17077321,1.008440409208373,0.9171779382681317,2.1787543,-1.8069441,-0.18715572,-1.528506,5,0
183,-0.22943932,-0.39348128,0.62317,1.8208358,-0.0703303,1.9342141407624764,1.9932345154638713,1.1232976,-0.25132707,0.40996206,-0.77448326,6,0
184,-0.30744576,-0.45664287,1.7885128,1.3745347,-0.42188036,1.9342141407624764,1.9753002391772756,0.816868,-1.2469225,0.7831608,-1.0258242,5,0
185,-0.30744576,-0.2671585,1.7885128,1.3745347,-0.42188036,2.0499358572067394,2.0470373443236585,0.8849725,-1.2469225,0.7831608,-1.0258242,5,0
186,-0.38545257,-0.58296573,0.6960039,0.8432238,-0.5725448,1.0663012674305044,0.899243661981536,0.27213377,-0.6246763,0.6338815,-0.5231432,6,0
187,-1.0095044,-0.20399694,-0.6150067,-0.26190272,-0.67298776,0.6612752598755843,0.056332676511539954,-0.7492709,-0.43800092,-0.18715572,0.39843988,5,0
188,-0.30744576,1.248716,0.25900033,-0.34691244,-0.87387335,-0.26449847167851886,-0.12301008635441665,-1.3621097,0.24646991,0.33532238,1.822704,8,0
189,-0.54146546,-0.3303199,-0.25083706,0.651952,-0.22099476,1.3556055585411617,1.688351818591745,0.544511,-0.81135017,0.11140339,-1.3609457,4,0
190,-0.46345899,-0.3303199,-0.25083706,0.651952,0.03011261,1.413466416763293,1.7062860948783407,0.544511,-0.81135017,0.18604305,-1.3609457,6,0
191,-0.30744576,-0.3303199,0.62317,3.5210307,-0.17077321,1.008440409208373,0.9171779382681317,2.1787543,-1.8069441,-0.18715572,-1.528506,5,0
192,-0.30744576,-0.3303199,0.3318344,0.5456898,-0.32143748,-0.148776755234256,0.1280697816579226,-0.61308223,-1.2469225,-1.1574723,0.73356056,6,0
193,-0.46345899,-1.1514187,0.18616648,-0.070630796,0.18077688,0.19838839409853273,0.16393833423111392,-0.13643216,0.8687161,-0.78427374,-0.77448326,5,0
197,-0.30744576,-0.45664287,-0.5421728,0.503185,0.03011261,1.3556055585411617,1.7600889237381276,0.5104588,-0.5624502,-0.41107494,-1.3609457,5,0
198,-0.07342644,-0.07767417,-0.5421728,1.629564,-0.0703303,1.2398838420968987,1.5807461608721711,1.1573497,-0.74912554,-0.26179537,-1.4447254,5,0
199,-0.30744576,-0.45664287,-0.5421728,0.503185,0.03011261,1.3556055585411617,1.7600889237381276,0.5104588,-0.5624502,-0.41107494,-1.3609457,5,0
200,-0.30744576,-0.39348128,-0.396505,2.267137,-0.12055184,1.413466416763293,1.4372719505794058,1.2935181,-0.43800092,-0.18715572,-1.0258242,5,0
201,-0.07342644,-0.07767417,-0.5421728,1.629564,-0.0703303,1.2398838420968987,1.5807461608721711,1.1573497,-0.74912554,-0.26179537,-1.4447254,5,0
202,-0.22943932,1.3118777,0.040498562,1.6508164,-0.0703303,1.2977447003190303,2.1546430020432323,0.9190247,-0.12687781,-0.18715572,-0.77448326,5,0
203,-0.30744576,-0.45664287,0.18616648,1.7995833,-0.87387335,0.48769268520918996,0.3253468208104749,0.10189289,0.68204224,0.03676328,1.2362424,6,0
204,-1.0875108,-0.3303199,0.25900033,-0.66569895,0.08033397,0.31411011054279564,-0.033338704921438346,-0.7492709,0.37091917,-0.18715572,-0.27180225,4,0
205,-0.61947185,-0.77245003,1.3515092,1.3107775,-0.47210193,0.8348578345419787,0.6660980702557924,0.8849725,-0.43800092,-0.7096338,-1.4447254,5,0
206,-0.15143289,-1.0882573,0.040498562,0.6094472,-0.32143748,0.4298318269870585,0.1818726105177096,0.4083224,-0.064653195,-1.3813915,-1.1096047,5,0
